,,,,,Cart link:,https://www.mouser.com/ProjectManager/ProjectDetail.aspx?AccessID=09d74b6d14,
Reference Designators,Qty,Value/Part Number,Package,Description,Comment,Source,
B1-B8,8,SKRRABE010,,Tactile switch,"Optional, can be omitted if you don't want clicky SP-style buttons (SKRRAA is less clicky, SKRRAC is more clicky)",https://www.mouser.com/ProductDetail/688-SKRRAB,
"BT+, BT-",2,,,Battery terminals,Can be salvaged from MGB instead,https://retrogamerepairshop.com/collections/gbp-power/products/gbp-game-boy-pocket-high-quality-replacement-battery-contact-terminals?variant=37893131305132,
C1,1,18pF,0603,Capacitor (MLCC),Should be X5R (or better); at least 1% tolerance; at least 16V,https://www.mouser.com/ProductDetail/YAGEO/CC0603FRNPO9BN180?qs=vTakOoo5QyL0KzYUzHPSUw%3D%3D,
"C12, C24, C43, C52, C53",5,100nF,0603,Capacitor (MLCC),"Should be X5R (or better), at least 16V",https://www.mouser.com/ProductDetail/KEMET/C0603C104M3RACTU?qs=7q2aiX3Gdlh4qBRaMcnohQ%3D%3D,
"C2, C15, C20",3,27pF,0603,Capacitor (MLCC),Should be X5R (or better); at least 1% tolerance; at least 16V,https://www.mouser.com/ProductDetail/603-C0603FRNPO9BN270,
"C3, C11, C16-C19, C39, C40, C48, C49, C51",11,1uF,0603,Capacitor (MLCC),"Should be X5R (or better), at least 16V",https://www.mouser.com/ProductDetail/KEMET/C0603C105K3PACTU?qs=STjISULpmtalQKXy67%252B4Cg%3D%3D,
C4,1,22pF,0603,Capacitor (MLCC),,https://www.mouser.com/ProductDetail/YAGEO/CC0603JRNPO9BN220?qs=vTakOoo5QyIVMYOUTI%2F4zA%3D%3D,
C47,1,150pF,0603,Capacitor (MLCC),,https://www.mouser.com/ProductDetail/KEMET/C0603C151J5GACTU?qs=V6nSPVTm7vxbAvL0weNH%252BQ%3D%3D,
"C5-C7, C13, C14",5,100pF,0603,Capacitor (MLCC),,https://www.mouser.com/ProductDetail/YAGEO/CC0603JPNPO9BN101?qs=7s%252B3O6pAiyAo%2FUxNqKltRA%3D%3D,
"C8, C26, C27",3,100uF,1206,Capacitor (Tant),Experiment with different types if you want,https://www.mouser.com/ProductDetail/KYOCERA-AVX/TLJA107M006R0800?qs=o28%2FEEzBmj1LB376wnSl1g%3D%3D,
"C9, C10, C29, C33, C41, C45",6,10nF,0603,Capacitor (MLCC),"Should be X5R (or better), at least 16V",https://www.mouser.com/ProductDetail/KEMET/C0603C103J5RACTU?qs=BimOss5pjlFJEfKhlb7g1g%3D%3D,
D1,1,PMEG2010AEH,SOD-123,Schottky diode,"Most schottky diodes should be suitable (at least 1A, 16V)",https://www.mouser.com/ProductDetail/?qs=LOCUfHb8d9u7lcjEnyhX1g%3D%3D,
EM10,1,744235601,1812,Common mode filter,Can be salvaged from CGB instead,https://www.mouser.com/ProductDetail/Wurth-Elektronik/744235601?qs=BXmE%252BJ0Y7xYO4MPd53j2NQ%3D%3D,
"EM2-EM4, EM9",4,BLM18BD102SN1D,0603,Filter,,https://www.mouser.com/ProductDetail/Murata-Electronics/BLM18BD102SN1D?qs=h3IWXJJGQQWi4eZyJq6ScQ%3D%3D,
EM6-EM8,3,Z0805C221BPWZT,0805,Filter,Replacement: FBMH2012HM221-T,https://www.mouser.com/ProductDetail/KEMET/Z0805C221BPWZT?qs=W0XMKc1ssG4b8%2FEBVn2KJA%3D%3D,
"F1, F2",2,1A,0603,Fuse,,https://www.mouser.com/ProductDetail/Vishay-Beyschlag/MFU0603FF01000P100?qs=oI046glRurtlP8n%252B3l7CPg%3D%3D,
